accession_number,filed_as_of_date,date_of_event,conformed_submission_type,issuer_cik,issuer_name,issuer_cusip,reporting_person_cik,reporting_person_name,score_total,grade,score_base,score_direction_adj,score_form_type,score_percent_of_class,score_rpt_type,score_source_funds,score_activist,score_amend_no,score_purpose,score_item6,ticker,ticker_match_method,ticker_match_score,indicator_calc_date,price_at_filing,rsi_14,macd,macd_signal,macd_histogram,sma_20,sma_50,sma_200,price_vs_sma20_pct,price_vs_sma50_pct,price_vs_sma200_pct,bb_upper,bb_middle,bb_lower,bb_position_pct,atr_14,volume,avg_volume_20,volume_ratio
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1257324,Icahn Enterprises G.P. Inc.,65,B,65,0,12,9,8,1,18,1,16,0,DAN,CIK,100,2025-01-24,14.84,61.02,0.67,0.42,0.25,11.9,10.95,,24.74,35.56,,13.84,11.9,9.96,125.88,0.63,5889200,1486735,3.96
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1313666,Icahn Partners LP,60,B,60,0,12,6,6,1,18,1,16,0,DAN,CIK,100,2025-01-24,14.84,61.02,0.67,0.42,0.25,11.9,10.95,,24.74,35.56,,13.84,11.9,9.96,125.88,0.63,5889200,1486735,3.96
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1322825,Icahn Offshore LP,54,C,54,0,12,0,6,1,18,1,16,0,DAN,CIK,100,2025-01-24,14.84,61.02,0.67,0.42,0.25,11.9,10.95,,24.74,35.56,,13.84,11.9,9.96,125.88,0.63,5889200,1486735,3.96
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1322826,Icahn Onshore LP,60,B,60,0,12,6,6,1,18,1,16,0,DAN,CIK,100,2025-01-24,14.84,61.02,0.67,0.42,0.25,11.9,10.95,,24.74,35.56,,13.84,11.9,9.96,125.88,0.63,5889200,1486735,3.96
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1322827,Icahn Partners Master Fund LP,54,C,54,0,12,0,6,1,18,1,16,0,DAN,CIK,100,2025-01-24,14.84,61.02,0.67,0.42,0.25,11.9,10.95,,24.74,35.56,,13.84,11.9,9.96,125.88,0.63,5889200,1486735,3.96
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1412091,IPH GP LLC,59,C,59,0,12,9,2,1,18,1,16,0,DAN,CIK,100,2025-01-24,14.84,61.02,0.67,0.42,0.25,11.9,10.95,,24.74,35.56,,13.84,11.9,9.96,125.88,0.63,5889200,1486735,3.96
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1412093,Icahn Capital LP,63,B,63,0,12,9,6,1,18,1,16,0,DAN,CIK,100,2025-01-24,14.84,61.02,0.67,0.42,0.25,11.9,10.95,,24.74,35.56,,13.84,11.9,9.96,125.88,0.63,5889200,1486735,3.96
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,921669,Carl C. Icahn,67,B,67,0,12,9,10,1,18,1,16,0,DAN,CIK,100,2025-01-24,14.84,61.02,0.67,0.42,0.25,11.9,10.95,,24.74,35.56,,13.84,11.9,9.96,125.88,0.63,5889200,1486735,3.96
0001026505-25-000001,20250123,01/15/2024,SCHEDULE 13G/A,27093,U.S. GOLD CORP.,90291C201,1026505,AKIN THOMAS B,10,D,10,0,2,0,2,0,0,2,4,0,USAU,CIK,100,2025-01-24,7.36,52.65,0.13,-0.01,0.14,6.59,6.96,,11.68,5.75,,7.52,6.59,5.66,91.4,0.36,76900,128540,0.6
0001835328-25-000003,20250103,12/31/2024,SCHEDULE 13G/A,27093,U.S. GOLD CORP.,90291C201,1835328,AIMS Asset Management Sdn Bhd,18,D,18,0,2,9,2,0,0,1,4,0,USAU,CIK,100,2025-01-03,6.17,46.88,-0.24,-0.16,-0.08,6.72,6.84,,-8.18,-9.8,,7.59,6.72,5.86,17.92,0.34,124600,141295,0.88
0001835328-25-000003,20250103,12/31/2024,SCHEDULE 13G/A,27093,U.S. GOLD CORP.,90291C201,1835328,Seraya Investment Pte. Ltd.,18,D,18,0,2,9,2,0,0,1,4,0,USAU,CIK,100,2025-01-03,6.17,46.88,-0.24,-0.16,-0.08,6.72,6.84,,-8.18,-9.8,,7.59,6.72,5.86,17.92,0.34,124600,141295,0.88
0000354204-25-000496,20250123,12/31/2024,SCHEDULE 13G,27996,Deluxe Corp,248019101,354204,Dimensional Fund Advisors LP,32,D,32,0,6,6,12,0,0,4,4,0,DLX,CIK,100,2025-01-24,20.7,70.65,-0.08,-0.09,0.0,20.93,21.42,,-1.11,-3.38,,21.71,20.93,20.16,34.63,0.51,162200,191430,0.85
0000932471-25-000152,20250130,12/31/2024,SCHEDULE 13G/A,28823,Diebold Nixdorf Inc,253651202,102909,The Vanguard Group,20,D,20,0,2,0,12,0,0,2,4,0,DBD,CIK,100,2025-01-31,43.29,38.75,-0.15,-0.21,0.06,43.16,44.53,,0.3,-2.78,,45.73,43.16,40.58,52.62,1.37,120000,93310,1.29
0001027796-25-000009,20250130,12/31/2024,SCHEDULE 13G,29534,DOLLAR GENERAL CORP,256677105,1027796,PZENA INVESTMENT MANAGEMENT LLC,32,D,32,0,6,6,12,0,0,4,4,0,DG,CIK,100,2025-01-31,69.53,37.38,-0.83,-1.11,0.29,70.24,72.87,,-1.01,-4.59,,73.98,70.24,66.51,40.39,2.06,3127900,3576790,0.87
0000807249-25-000012,20250122,01/21/2025,SCHEDULE 13D/A,31107,EASTERN CO,276317104,1081407,GABELLI FUNDS LLC,25,D,25,0,12,0,2,6,0,1,4,0,EML,CIK,100,2025-01-23,27.78,61.32,-0.08,-0.36,0.28,26.44,27.4,,5.08,1.4,,28.05,26.44,24.84,91.67,0.87,14100,9900,1.42
0000807249-25-000012,20250122,01/21/2025,SCHEDULE 13D/A,31107,EASTERN CO,276317104,1185533,GABELLI MARIO J,33,D,33,0,12,0,10,6,0,1,4,0,EML,CIK,100,2025-01-23,27.78,61.32,-0.08,-0.36,0.28,26.44,27.4,,5.08,1.4,,28.05,26.44,24.84,91.67,0.87,14100,9900,1.42
0000807249-25-000012,20250122,01/21/2025,SCHEDULE 13D/A,31107,EASTERN CO,276317104,1238894,"GGCP, INC.",25,D,25,0,12,0,2,6,0,1,4,0,EML,CIK,100,2025-01-23,27.78,61.32,-0.08,-0.36,0.28,26.44,27.4,,5.08,1.4,,28.05,26.44,24.84,91.67,0.87,14100,9900,1.42
0000807249-25-000012,20250122,01/21/2025,SCHEDULE 13D/A,31107,EASTERN CO,276317104,1444874,"Teton Advisors, Inc.",25,D,25,0,12,0,2,6,0,1,4,0,EML,CIK,100,2025-01-23,27.78,61.32,-0.08,-0.36,0.28,26.44,27.4,,5.08,1.4,,28.05,26.44,24.84,91.67,0.87,14100,9900,1.42
0000807249-25-000012,20250122,01/21/2025,SCHEDULE 13D/A,31107,EASTERN CO,276317104,1460612,GAMCO Asset Management Inc.,34,D,34,0,12,9,2,6,0,1,4,0,EML,CIK,100,2025-01-23,27.78,61.32,-0.08,-0.36,0.28,26.44,27.4,,5.08,1.4,,28.05,26.44,24.84,91.67,0.87,14100,9900,1.42
0000807249-25-000012,20250122,01/21/2025,SCHEDULE 13D/A,31107,EASTERN CO,276317104,1642122,"Associated Capital Group, Inc.",25,D,25,0,12,0,2,6,0,1,4,0,EML,CIK,100,2025-01-23,27.78,61.32,-0.08,-0.36,0.28,26.44,27.4,,5.08,1.4,,28.05,26.44,24.84,91.67,0.87,14100,9900,1.42
0000807249-25-000012,20250122,01/21/2025,SCHEDULE 13D/A,31107,EASTERN CO,276317104,807249,"GAMCO INVESTORS, INC. ET AL",25,D,25,0,12,0,2,6,0,1,4,0,EML,CIK,100,2025-01-23,27.78,61.32,-0.08,-0.36,0.28,26.44,27.4,,5.08,1.4,,28.05,26.44,24.84,91.67,0.87,14100,9900,1.42
0001847273-25-000002,20250103,01/01/2025,SCHEDULE 13D/A,31235,EASTMAN KODAK CO,227461406,1847273,"GO EK Ventures IV, LLC",66,B,66,0,12,12,2,5,18,1,16,0,KODK,CIK,100,2025-01-03,6.78,45.0,0.19,0.29,-0.1,6.91,6.02,,-1.88,12.62,,7.4,6.91,6.42,36.73,0.42,1102800,1403365,0.79
0001847273-25-000002,20250103,01/01/2025,SCHEDULE 13D/A,31235,EASTMAN KODAK CO,227461406,903201,GOLISANO B THOMAS,74,B,74,0,12,12,10,5,18,1,16,0,KODK,CIK,100,2025-01-03,6.78,45.0,0.19,0.29,-0.1,6.91,6.02,,-1.88,12.62,,7.4,6.91,6.42,36.73,0.42,1102800,1403365,0.79
0001174947-25-000046,20250122,12/31/2024,SCHEDULE 13G/A,33533,ESPEY MFG & ELECTRONICS CORP,296650104,1321399,Espey Mfg. & Electronics Corp. Employee Retirement Plan & Trust,23,D,23,0,2,14,2,0,0,1,4,0,ESP,CIK,100,2025-01-23,27.99,50.88,-0.05,-0.16,0.11,27.54,27.8,,1.64,0.69,,29.46,27.54,25.61,61.9,0.98,5900,16350,0.36
0001213900-25-000341,20250102,12/31/2024,SCHEDULE 13G/A,33533,Espey Mfg & Electronics Corp.,296650104,1657476,Stanley Kesselman,17,D,17,0,2,0,10,0,0,1,4,0,ESP,CIK,100,2025-01-03,27.68,30.15,0.06,-0.11,0.17,27.58,28.47,,0.35,-2.78,,29.48,27.58,25.67,52.68,1.31,10300,21000,0.49
0000921895-25-000195,20250129,01/27/2025,SCHEDULE 13D/A,34067,DMC Global Inc.,23291C103,1452857,STEEL PARTNERS HOLDINGS L.P.,64,B,64,0,12,9,6,2,18,1,16,0,BOOM,CIK,100,2025-01-30,8.46,25.47,0.15,-0.01,0.15,7.6,7.56,,11.32,11.9,,8.36,7.6,6.83,106.54,0.43,225300,196380,1.15
0000921895-25-000195,20250129,01/27/2025,SCHEDULE 13D/A,34067,DMC Global Inc.,23291C103,1522066,SPH Group Holdings LLC,60,B,60,0,12,9,2,2,18,1,16,0,BOOM,CIK,100,2025-01-30,8.46,25.47,0.15,-0.01,0.15,7.6,7.56,,11.32,11.9,,8.36,7.6,6.83,106.54,0.43,225300,196380,1.15
0000921895-25-000195,20250129,01/27/2025,SCHEDULE 13D/A,34067,DMC Global Inc.,23291C103,1522067,SPH Group LLC,60,B,60,0,12,9,2,2,18,1,16,0,BOOM,CIK,100,2025-01-30,8.46,25.47,0.15,-0.01,0.15,7.6,7.56,,11.32,11.9,,8.36,7.6,6.83,106.54,0.43,225300,196380,1.15
0000921895-25-000195,20250129,01/27/2025,SCHEDULE 13D/A,34067,DMC Global Inc.,23291C103,1537666,Steel Partners Holdings GP Inc.,66,B,66,0,12,9,8,2,18,1,16,0,BOOM,CIK,100,2025-01-30,8.46,25.47,0.15,-0.01,0.15,7.6,7.56,,11.32,11.9,,8.36,7.6,6.83,106.54,0.43,225300,196380,1.15
0000921895-25-000195,20250129,01/27/2025,SCHEDULE 13D/A,34067,DMC Global Inc.,23291C103,709804,Steel Excel Inc.,66,B,66,0,12,9,8,2,18,1,16,0,BOOM,CIK,100,2025-01-30,8.46,25.47,0.15,-0.01,0.15,7.6,7.56,,11.32,11.9,,8.36,7.6,6.83,106.54,0.43,225300,196380,1.15
0000921895-25-000195,20250129,01/27/2025,SCHEDULE 13D/A,34067,DMC Global Inc.,23291C103,914712,Steel Connect LLC,60,B,60,0,12,9,2,2,18,1,16,0,BOOM,CIK,100,2025-01-30,8.46,25.47,0.15,-0.01,0.15,7.6,7.56,,11.32,11.9,,8.36,7.6,6.83,106.54,0.43,225300,196380,1.15
0000921895-25-000195,20250129,01/27/2025,SCHEDULE 13D/A,34067,DMC Global Inc.,23291C103,914712,STEEL CONNECT SUB LLC,60,B,60,0,12,9,2,2,18,1,16,0,BOOM,CIK,100,2025-01-30,8.46,25.47,0.15,-0.01,0.15,7.6,7.56,,11.32,11.9,,8.36,7.6,6.83,106.54,0.43,225300,196380,1.15
0001943462-25-000002,20250115,01/08/2025,SCHEDULE 13G/A,34956,"TENAX THERAPEUTICS, INC.",88032L605,1943462,Dellora Investments LP,22,D,22,0,2,12,2,0,0,2,4,0,TENX,CIK,100,2025-01-16,6.41,72.45,0.24,0.26,-0.01,6.1,5.6,,5.0,14.38,,6.85,6.1,5.36,70.13,0.43,15700,38480,0.41
0001943462-25-000002,20250115,01/08/2025,SCHEDULE 13G/A,34956,"TENAX THERAPEUTICS, INC.",88032L605,1943462,Dellora Investments Master Fund LP,23,D,23,0,2,9,6,0,0,2,4,0,TENX,CIK,100,2025-01-16,6.41,72.45,0.24,0.26,-0.01,6.1,5.6,,5.0,14.38,,6.85,6.1,5.36,70.13,0.43,15700,38480,0.41
0001943462-25-000002,20250115,01/08/2025,SCHEDULE 13G/A,34956,"TENAX THERAPEUTICS, INC.",88032L605,1943462,Kevin Pyun,22,D,22,0,2,12,2,0,0,2,4,0,TENX,CIK,100,2025-01-16,6.41,72.45,0.24,0.26,-0.01,6.1,5.6,,5.0,14.38,,6.85,6.1,5.36,70.13,0.43,15700,38480,0.41
0001174947-25-000059,20250123,12/31/2024,SCHEDULE 13G/A,36840,FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,336142104,1127605,Ronald J. Artinian,23,D,23,0,2,6,10,0,0,1,4,0,FREVS,CIK,100,2025-01-24,16.58,54.23,-0.02,0.01,-0.03,16.73,16.69,,-0.89,-0.65,,17.0,16.73,16.46,22.36,0.12,0,860,0.0
0001390777-25-000020,20250123,12/31/2024,SCHEDULE 13G/A,36966,FIRST HORIZON CORP,320517105,1390777,Bank of New York Mellon Corp,22,D,22,0,2,6,8,0,0,2,4,0,FHN,CIK,100,2025-01-24,20.48,70.7,0.31,0.28,0.02,20.07,19.82,,2.07,3.35,,21.01,20.07,19.12,72.19,0.59,6283800,5289345,1.19
0001390777-25-000020,20250123,12/31/2024,SCHEDULE 13G/A,36966,FIRST HORIZON CORP,320517105,1390777,"BNY Mellon IHC, LLC",22,D,22,0,2,6,8,0,0,2,4,0,FHN,CIK,100,2025-01-24,20.48,70.7,0.31,0.28,0.02,20.07,19.82,,2.07,3.35,,21.01,20.07,19.12,72.19,0.59,6283800,5289345,1.19
0001390777-25-000020,20250123,12/31/2024,SCHEDULE 13G/A,36966,FIRST HORIZON CORP,320517105,1390777,MBC Investments Corp,22,D,22,0,2,6,8,0,0,2,4,0,FHN,CIK,100,2025-01-24,20.48,70.7,0.31,0.28,0.02,20.07,19.82,,2.07,3.35,,21.01,20.07,19.12,72.19,0.59,6283800,5289345,1.19
0000932471-25-000033,20250108,12/31/2024,SCHEDULE 13G/A,37996,Ford Motor Co,345370860,102909,The Vanguard Group,31,D,31,0,2,12,12,0,0,1,4,0,F,CIK,100,2025-01-08,9.07,90.0,-0.2,-0.21,0.01,9.3,9.77,,-2.49,-7.18,,9.77,9.3,8.83,25.33,0.24,61678800,60635030,1.02
0000807249-25-000009,20250116,01/15/2025,SCHEDULE 13D/A,40211,GATX CORP,361448103,1081407,GABELLI FUNDS LLC,25,D,25,0,12,0,2,6,0,1,4,0,GATX,CIK,100,2025-01-17,152.41,75.1,-0.88,-0.88,0.0,151.78,154.04,,0.41,-1.06,,156.09,151.78,147.48,57.24,3.35,121600,161375,0.75
0000807249-25-000009,20250116,01/15/2025,SCHEDULE 13D/A,40211,GATX CORP,361448103,1185533,GABELLI MARIO J,33,D,33,0,12,0,10,6,0,1,4,0,GATX,CIK,100,2025-01-17,152.41,75.1,-0.88,-0.88,0.0,151.78,154.04,,0.41,-1.06,,156.09,151.78,147.48,57.24,3.35,121600,161375,0.75
