accession_number,filed_as_of_date,date_of_event,conformed_submission_type,issuer_cik,issuer_name,issuer_cusip,reporting_person_cik,reporting_person_name,score_total,grade,score_base,score_direction_adj,score_form_type,score_percent_of_class,score_rpt_type,score_source_funds,score_activist,score_amend_no,score_purpose,score_item6,ticker,ticker_match_method,ticker_match_score
0001835328-25-000003,20250103,12/31/2024,SCHEDULE 13G/A,27093,U.S. GOLD CORP.,90291C201,1835328,Seraya Investment Pte. Ltd.,18,D,18,0,2,9,2,0,0,1,4,0,USAU,CIK,100
0000354204-25-000496,20250123,12/31/2024,SCHEDULE 13G,27996,Deluxe Corp,248019101,354204,Dimensional Fund Advisors LP,32,D,32,0,6,6,12,0,0,4,4,0,DLX,CIK,100
0000932471-25-000152,20250130,12/31/2024,SCHEDULE 13G/A,28823,Diebold Nixdorf Inc,253651202,102909,The Vanguard Group,20,D,20,0,2,0,12,0,0,2,4,0,DBD,CIK,100
0001027796-25-000009,20250130,12/31/2024,SCHEDULE 13G,29534,DOLLAR GENERAL CORP,256677105,1027796,PZENA INVESTMENT MANAGEMENT LLC,32,D,32,0,6,6,12,0,0,4,4,0,DG,CIK,100
0000807249-25-000012,20250122,01/21/2025,SCHEDULE 13D/A,31107,EASTERN CO,276317104,1081407,GABELLI FUNDS LLC,25,D,25,0,12,0,2,6,0,1,4,0,EML,CIK,100
0000807249-25-000012,20250122,01/21/2025,SCHEDULE 13D/A,31107,EASTERN CO,276317104,1185533,GABELLI MARIO J,33,D,33,0,12,0,10,6,0,1,4,0,EML,CIK,100
0000807249-25-000012,20250122,01/21/2025,SCHEDULE 13D/A,31107,EASTERN CO,276317104,1238894,"GGCP, INC.",25,D,25,0,12,0,2,6,0,1,4,0,EML,CIK,100
0000807249-25-000012,20250122,01/21/2025,SCHEDULE 13D/A,31107,EASTERN CO,276317104,1444874,"Teton Advisors, Inc.",25,D,25,0,12,0,2,6,0,1,4,0,EML,CIK,100
0000807249-25-000012,20250122,01/21/2025,SCHEDULE 13D/A,31107,EASTERN CO,276317104,1460612,GAMCO Asset Management Inc.,34,D,34,0,12,9,2,6,0,1,4,0,EML,CIK,100
0000807249-25-000012,20250122,01/21/2025,SCHEDULE 13D/A,31107,EASTERN CO,276317104,1642122,"Associated Capital Group, Inc.",25,D,25,0,12,0,2,6,0,1,4,0,EML,CIK,100
0000807249-25-000012,20250122,01/21/2025,SCHEDULE 13D/A,31107,EASTERN CO,276317104,807249,"GAMCO INVESTORS, INC. ET AL",25,D,25,0,12,0,2,6,0,1,4,0,EML,CIK,100
0001847273-25-000002,20250103,01/01/2025,SCHEDULE 13D/A,31235,EASTMAN KODAK CO,227461406,1847273,"GO EK Ventures IV, LLC",66,B,66,0,12,12,2,5,18,1,16,0,KODK,CIK,100
0001847273-25-000002,20250103,01/01/2025,SCHEDULE 13D/A,31235,EASTMAN KODAK CO,227461406,903201,GOLISANO B THOMAS,74,B,74,0,12,12,10,5,18,1,16,0,KODK,CIK,100
0001174947-25-000046,20250122,12/31/2024,SCHEDULE 13G/A,33533,ESPEY MFG & ELECTRONICS CORP,296650104,1321399,Espey Mfg. & Electronics Corp. Employee Retirement Plan & Trust,23,D,23,0,2,14,2,0,0,1,4,0,ESP,CIK,100
0001213900-25-000341,20250102,12/31/2024,SCHEDULE 13G/A,33533,Espey Mfg & Electronics Corp.,296650104,1657476,Stanley Kesselman,17,D,17,0,2,0,10,0,0,1,4,0,ESP,CIK,100
0000921895-25-000195,20250129,01/27/2025,SCHEDULE 13D/A,34067,DMC Global Inc.,23291C103,1452857,STEEL PARTNERS HOLDINGS L.P.,64,B,64,0,12,9,6,2,18,1,16,0,BOOM,CIK,100
0000921895-25-000195,20250129,01/27/2025,SCHEDULE 13D/A,34067,DMC Global Inc.,23291C103,1522066,SPH Group Holdings LLC,60,B,60,0,12,9,2,2,18,1,16,0,BOOM,CIK,100
0000921895-25-000195,20250129,01/27/2025,SCHEDULE 13D/A,34067,DMC Global Inc.,23291C103,1522067,SPH Group LLC,60,B,60,0,12,9,2,2,18,1,16,0,BOOM,CIK,100
0000921895-25-000195,20250129,01/27/2025,SCHEDULE 13D/A,34067,DMC Global Inc.,23291C103,1537666,Steel Partners Holdings GP Inc.,66,B,66,0,12,9,8,2,18,1,16,0,BOOM,CIK,100
0000921895-25-000195,20250129,01/27/2025,SCHEDULE 13D/A,34067,DMC Global Inc.,23291C103,709804,Steel Excel Inc.,66,B,66,0,12,9,8,2,18,1,16,0,BOOM,CIK,100
0000921895-25-000195,20250129,01/27/2025,SCHEDULE 13D/A,34067,DMC Global Inc.,23291C103,914712,Steel Connect LLC,60,B,60,0,12,9,2,2,18,1,16,0,BOOM,CIK,100
0000921895-25-000195,20250129,01/27/2025,SCHEDULE 13D/A,34067,DMC Global Inc.,23291C103,914712,STEEL CONNECT SUB LLC,60,B,60,0,12,9,2,2,18,1,16,0,BOOM,CIK,100
0001943462-25-000002,20250115,01/08/2025,SCHEDULE 13G/A,34956,"TENAX THERAPEUTICS, INC.",88032L605,1943462,Dellora Investments LP,22,D,22,0,2,12,2,0,0,2,4,0,TENX,CIK,100
0001943462-25-000002,20250115,01/08/2025,SCHEDULE 13G/A,34956,"TENAX THERAPEUTICS, INC.",88032L605,1943462,Dellora Investments Master Fund LP,23,D,23,0,2,9,6,0,0,2,4,0,TENX,CIK,100
0001943462-25-000002,20250115,01/08/2025,SCHEDULE 13G/A,34956,"TENAX THERAPEUTICS, INC.",88032L605,1943462,Kevin Pyun,22,D,22,0,2,12,2,0,0,2,4,0,TENX,CIK,100
0001174947-25-000059,20250123,12/31/2024,SCHEDULE 13G/A,36840,FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,336142104,1127605,Ronald J. Artinian,23,D,23,0,2,6,10,0,0,1,4,0,FREVS,CIK,100
0001390777-25-000020,20250123,12/31/2024,SCHEDULE 13G/A,36966,FIRST HORIZON CORP,320517105,1390777,Bank of New York Mellon Corp,22,D,22,0,2,6,8,0,0,2,4,0,FHN,CIK,100
0001390777-25-000020,20250123,12/31/2024,SCHEDULE 13G/A,36966,FIRST HORIZON CORP,320517105,1390777,"BNY Mellon IHC, LLC",22,D,22,0,2,6,8,0,0,2,4,0,FHN,CIK,100
0001390777-25-000020,20250123,12/31/2024,SCHEDULE 13G/A,36966,FIRST HORIZON CORP,320517105,1390777,MBC Investments Corp,22,D,22,0,2,6,8,0,0,2,4,0,FHN,CIK,100
0000932471-25-000033,20250108,12/31/2024,SCHEDULE 13G/A,37996,Ford Motor Co,345370860,102909,The Vanguard Group,31,D,31,0,2,12,12,0,0,1,4,0,F,CIK,100
0000807249-25-000009,20250116,01/15/2025,SCHEDULE 13D/A,40211,GATX CORP,361448103,1081407,GABELLI FUNDS LLC,25,D,25,0,12,0,2,6,0,1,4,0,GATX,CIK,100
0000807249-25-000009,20250116,01/15/2025,SCHEDULE 13D/A,40211,GATX CORP,361448103,1185533,GABELLI MARIO J,33,D,33,0,12,0,10,6,0,1,4,0,GATX,CIK,100
0000807249-25-000009,20250116,01/15/2025,SCHEDULE 13D/A,40211,GATX CORP,361448103,1238894,"GGCP, INC.",25,D,25,0,12,0,2,6,0,1,4,0,GATX,CIK,100
0000807249-25-000009,20250116,01/15/2025,SCHEDULE 13D/A,40211,GATX CORP,361448103,1460612,GAMCO Asset Management Inc.,25,D,25,0,12,0,2,6,0,1,4,0,GATX,CIK,100
0000807249-25-000009,20250116,01/15/2025,SCHEDULE 13D/A,40211,GATX CORP,361448103,1642122,"Associated Capital Group, Inc.",25,D,25,0,12,0,2,6,0,1,4,0,GATX,CIK,100
0000807249-25-000009,20250116,01/15/2025,SCHEDULE 13D/A,40211,GATX CORP,361448103,807249,"GAMCO INVESTORS, INC. ET AL",25,D,25,0,12,0,2,6,0,1,4,0,GATX,CIK,100
0000807249-25-000009,20250116,01/15/2025,SCHEDULE 13D/A,40211,GATX CORP,361448103,807249,"MJG ASSOCIATES, INC.",31,D,31,0,12,0,8,6,0,1,4,0,GATX,CIK,100
0002012383-25-000337,20250131,12/31/2024,SCHEDULE 13G/A,40545,GENERAL ELECTRIC CO,369604301,2012383,"BlackRock, Inc.",24,D,24,0,2,9,8,0,0,1,4,0,GE,CIK,100
0000932471-25-000180,20250130,12/31/2024,SCHEDULE 13G/A,41719,Magnera Corp,55939A107,102909,The Vanguard Group,29,D,29,0,2,9,12,0,0,2,4,0,MAGN,CIK,100
0001446114-25-000003,20250107,12/31/2024,SCHEDULE 13G,41719,Magnera Corporation,55939A107,1446114,"Ancora Advisors, LLC",32,D,32,0,6,6,12,0,0,4,4,0,MAGN,CIK,100
0001415889-25-001827,20250121,01/17/2025,SCHEDULE 13D/A,45876,ENVIRI Corp,415864107,1230440,Neuberger Berman Investment Advisers LLC,67,B,67,0,12,6,12,1,18,2,16,0,NVRI,CIK,100
0001415889-25-001827,20250121,01/17/2025,SCHEDULE 13D/A,45876,ENVIRI Corp,415864107,1465109,Benjamin Nahum,59,C,59,0,12,0,10,1,18,2,16,0,NVRI,CIK,100
0001415889-25-001827,20250121,01/17/2025,SCHEDULE 13D/A,45876,ENVIRI Corp,415864107,1465109,Michael Greene,59,C,59,0,12,0,10,1,18,2,16,0,NVRI,CIK,100
0001415889-25-001827,20250121,01/17/2025,SCHEDULE 13D/A,45876,ENVIRI Corp,415864107,1465109,NB Acquisitionco ULC,57,C,57,0,12,0,8,1,18,2,16,0,NVRI,CIK,100
0001415889-25-001827,20250121,01/17/2025,SCHEDULE 13D/A,45876,ENVIRI Corp,415864107,1465109,Neuberger Berman Canada Holdings LLC,57,C,57,0,12,0,8,1,18,2,16,0,NVRI,CIK,100
0001415889-25-001827,20250121,01/17/2025,SCHEDULE 13D/A,45876,ENVIRI Corp,415864107,1465109,Neuberger Berman Group LLC,63,B,63,0,12,6,8,1,18,2,16,0,NVRI,CIK,100
0001415889-25-001827,20250121,01/17/2025,SCHEDULE 13D/A,45876,ENVIRI Corp,415864107,1465109,Neuberger Berman Investment Advisers Holdings LLC,63,B,63,0,12,6,8,1,18,2,16,0,NVRI,CIK,100
0001415889-25-001827,20250121,01/17/2025,SCHEDULE 13D/A,45876,ENVIRI Corp,415864107,1465109,Rand Gesing,59,C,59,0,12,0,10,1,18,2,16,0,NVRI,CIK,100
0001415889-25-001827,20250121,01/17/2025,SCHEDULE 13D/A,45876,ENVIRI Corp,415864107,1531987,Neuberger Berman Canada ULC,61,B,61,0,12,0,12,1,18,2,16,0,NVRI,CIK,100
0000932471-25-000297,20250131,12/31/2024,SCHEDULE 13G/A,45876,Enviri Corp,415864107,102909,The Vanguard Group,25,D,25,0,2,6,12,0,0,1,4,0,NVRI,CIK,100
0000932471-25-000024,20250108,12/31/2024,SCHEDULE 13G/A,49071,Humana Inc,444859102,102909,The Vanguard Group,31,D,31,0,2,12,12,0,0,1,4,0,HUM,CIK,100
0000932471-25-000125,20250130,12/31/2024,SCHEDULE 13G/A,49754,Dine Brands Global Inc,254423106,102909,The Vanguard Group,25,D,25,0,2,6,12,0,0,1,4,0,DIN,CIK,100
0000932471-25-000195,20250130,12/31/2024,SCHEDULE 13G/A,55135,Kelly Services Inc,488152208,102909,The Vanguard Group,28,D,28,0,2,9,12,0,0,1,4,0,KELYA,CIK,100
0002012383-25-000066,20250108,12/31/2024,SCHEDULE 13G,55135,KELLY SERVICES INC,488152208,2012383,"BlackRock, Inc.",31,D,31,0,6,9,8,0,0,4,4,0,KELYA,CIK,100
0000354204-25-000510,20250123,12/31/2024,SCHEDULE 13G/A,55242,Kennametal Inc,489170100,354204,Dimensional Fund Advisors LP,26,D,26,0,2,6,12,0,0,2,4,0,KMT,CIK,100
0000932471-25-000032,20250108,12/31/2024,SCHEDULE 13G/A,55785,Kimberly-Clark Corp,494368103,102909,The Vanguard Group,31,D,31,0,2,12,12,0,0,1,4,0,KMB,CIK,100
0000807249-25-000013,20250122,01/21/2025,SCHEDULE 13D/A,58361,"LEE ENTERPRISES, Inc",523768406,1081407,GABELLI FUNDS LLC,25,D,25,0,12,0,2,6,0,1,4,0,LEE,CIK,100
0000807249-25-000013,20250122,01/21/2025,SCHEDULE 13D/A,58361,"LEE ENTERPRISES, Inc",523768406,1185533,GABELLI MARIO J,33,D,33,0,12,0,10,6,0,1,4,0,LEE,CIK,100
0000807249-25-000013,20250122,01/21/2025,SCHEDULE 13D/A,58361,"LEE ENTERPRISES, Inc",523768406,1238894,"GGCP, INC.",25,D,25,0,12,0,2,6,0,1,4,0,LEE,CIK,100
0000807249-25-000013,20250122,01/21/2025,SCHEDULE 13D/A,58361,"LEE ENTERPRISES, Inc",523768406,1444874,"Teton Advisors, Inc.",25,D,25,0,12,0,2,6,0,1,4,0,LEE,CIK,100
0000807249-25-000013,20250122,01/21/2025,SCHEDULE 13D/A,58361,"LEE ENTERPRISES, Inc",523768406,1460612,GAMCO Asset Management Inc.,31,D,31,0,12,6,2,6,0,1,4,0,LEE,CIK,100
0000807249-25-000013,20250122,01/21/2025,SCHEDULE 13D/A,58361,"LEE ENTERPRISES, Inc",523768406,1642122,"Associated Capital Group, Inc.",25,D,25,0,12,0,2,6,0,1,4,0,LEE,CIK,100
0000807249-25-000013,20250122,01/21/2025,SCHEDULE 13D/A,58361,"LEE ENTERPRISES, Inc",523768406,807249,"GABELLI FOUNDATION, INC.",25,D,25,0,12,0,2,6,0,1,4,0,LEE,CIK,100
0000807249-25-000013,20250122,01/21/2025,SCHEDULE 13D/A,58361,"LEE ENTERPRISES, Inc",523768406,807249,"GAMCO INVESTORS, INC. ET AL",25,D,25,0,12,0,2,6,0,1,4,0,LEE,CIK,100
0001415889-25-002113,20250127,12/31/2024,SCHEDULE 13G/A,59478,ELI LILLY AND CO,532457108,316011,LILLY ENDOWMENT INC,27,D,27,0,2,12,8,0,0,1,4,0,LLY,CIK,100
0001172661-25-000022,20250106,12/31/2024,SCHEDULE 13G/A,63330,"Maui Land & Pineapple Company, Inc.",577345101,1317208,"TSP Capital Management Group, LLC",25,D,25,0,2,6,12,0,0,1,4,0,MLP,CIK,100
0000950170-25-010303,20250129,01/27/2025,SCHEDULE 13D/A,63754,"McCORMICK & COMPANY, INCORPORATED",579780206,1352090,Lawrence E. Kurzius,39,D,39,0,12,12,10,0,0,1,4,0,MKC,CIK,100
0001085146-25-000109,20250110,12/31/2024,SCHEDULE 13G/A,65312,"EVI INDUSTRIES, INC.",26929N102,1163744,Conestoga Capital Advisors,25,D,25,0,2,6,12,0,0,1,4,0,EVI,CIK,100
0000906304-25-000051,20250130,12/31/2024,SCHEDULE 13G/A,65312,"EVI Industries, Inc.",26929N102,906304,ROYCE & ASSOCIATES LP,19,D,19,0,2,0,12,0,0,1,4,0,EVI,CIK,100
0001445546-25-000776,20250131,12/31/2024,SCHEDULE 13G/A,66004,Middlesex Water Company,596680108,1184765,First Trust Advisors L.P.,20,D,20,0,2,0,12,0,0,2,4,0,MSEX,CIK,100
0001445546-25-000776,20250131,12/31/2024,SCHEDULE 13G/A,66004,Middlesex Water Company,596680108,1184765,First Trust Portfolios L.P.,10,D,10,0,2,0,2,0,0,2,4,0,MSEX,CIK,100
0001445546-25-000776,20250131,12/31/2024,SCHEDULE 13G/A,66004,Middlesex Water Company,596680108,1184765,The Charger Corporation,16,D,16,0,2,0,8,0,0,2,4,0,MSEX,CIK,100
0001493152-25-001205,20250107,12/31/2024,SCHEDULE 13G,66570,MSA Safety Inc.,553498106,1323255,"APG Asset Management, N.V.",22,D,22,0,6,0,8,0,0,4,4,0,MSA,CIK,100
0001493152-25-001205,20250107,12/31/2024,SCHEDULE 13G,66570,MSA Safety Inc.,553498106,1323255,APG Asset Management US Inc.,16,D,16,0,6,0,2,0,0,4,4,0,MSA,CIK,100
0001493152-25-001205,20250107,12/31/2024,SCHEDULE 13G,66570,MSA Safety Inc.,553498106,1323255,"APG Groep, N.V.",22,D,22,0,6,0,8,0,0,4,4,0,MSA,CIK,100
0001493152-25-001205,20250107,12/31/2024,SCHEDULE 13G,66570,MSA Safety Inc.,553498106,1323255,Stichting Pensioenfonds ABP,16,D,16,0,6,0,2,0,0,4,4,0,MSA,CIK,100
0000932471-25-000162,20250130,12/31/2024,SCHEDULE 13G/A,67716,MDU Resources Group Inc,552690109,102909,The Vanguard Group,31,D,31,0,2,12,12,0,0,1,4,0,MDU,CIK,100
0000932471-25-000172,20250130,12/31/2024,SCHEDULE 13G/A,69488,Myers Industries Inc,628464109,102909,The Vanguard Group,25,D,25,0,2,6,12,0,0,1,4,0,MYE,CIK,100
0000932471-25-000187,20250130,12/31/2024,SCHEDULE 13G/A,69633,Napco Security Technologies Inc,630402105,102909,The Vanguard Group,29,D,29,0,2,9,12,0,0,2,4,0,NSSC,CIK,100
0001104659-25-000325,20250102,12/30/2024,SCHEDULE 13G,72331,NORDSON CORPORATION,655663102,1452126,Jennifer A. Savage,30,D,30,0,6,6,10,0,0,4,4,0,NDSN,CIK,100
0000932471-25-000238,20250131,12/31/2024,SCHEDULE 13G/A,72333,Nordstrom Inc,655664100,102909,The Vanguard Group,25,D,25,0,2,6,12,0,0,1,4,0,"""JWN""",CIK,100
0000354204-25-000512,20250123,12/31/2024,SCHEDULE 13G/A,72573,Movado Group Inc,624580106,354204,Dimensional Fund Advisors LP,25,D,25,0,2,6,12,0,0,1,4,0,MOV,CIK,100
0000354204-25-000515,20250123,12/31/2024,SCHEDULE 13G,75288,Oxford Industries Inc,691497309,354204,Dimensional Fund Advisors LP,32,D,32,0,6,6,12,0,0,4,4,0,OXM,CIK,100
0000315066-25-000028,20250108,12/31/2024,SCHEDULE 13G/A,76605,PATRICK INDUSTRIES INC,703343103,315066,Abigail P. Johnson,26,D,26,0,2,9,10,0,0,1,4,0,PATK,CIK,100
0000315066-25-000028,20250108,12/31/2024,SCHEDULE 13G/A,76605,PATRICK INDUSTRIES INC,703343103,315066,FMR LLC,24,D,24,0,2,9,8,0,0,1,4,0,PATK,CIK,100
0001027796-25-000004,20250123,12/31/2024,SCHEDULE 13G,78239,PVH CORP. /DE/,693656100,1027796,PZENA INVESTMENT MANAGEMENT LLC,35,D,35,0,6,9,12,0,0,4,4,0,PVH,CIK,100
0001019056-25-000042,20250124,01/22/2025,SCHEDULE 13D/A,78749,AGILYSYS INC,00847J105,1385702,MAK CAPITAL ONE L.L.C.,32,D,32,0,12,0,2,1,0,1,16,0,AGYS,CIK,100
0001019056-25-000042,20250124,01/22/2025,SCHEDULE 13D/A,78749,AGILYSYS INC,00847J105,1426156,MAK CAPITAL FUND LP,36,D,36,0,12,0,6,1,0,1,16,0,AGYS,CIK,100
0001019056-25-000042,20250124,01/22/2025,SCHEDULE 13D/A,78749,AGILYSYS INC,00847J105,1426157,MICHAEL A. KAUFMAN,40,C,40,0,12,0,10,1,0,1,16,0,AGYS,CIK,100
0001019056-25-000042,20250124,01/22/2025,SCHEDULE 13D/A,78749,AGILYSYS INC,00847J105,2041357,KAUFMAN 2012 DESCENDANTS TRUST,32,D,32,0,12,0,2,1,0,1,16,0,AGYS,CIK,100
